_id,order_id,customer_id,product,category,quantity,price,order_date
0,1434,840,402,2,3,444,125
1,105,16,422,5,4,184,91
2,1028,350,44,3,1,248,340
3,4505,753,397,2,3,269,145
4,4072,107,624,1,3,400,284
5,3101,389,90,2,4,374,328
6,157,218,344,1,1,172,158
7,107,190,546,0,1,57,62
8,3453,964,310,5,3,338,212
9,4130,40,502,3,2,337,228
10,2428,407,955,3,3,125,250
11,3970,797,265,0,3,438,301
12,2525,627,608,4,3,346,290
13,1973,962,940,6,3,346,319
14,2500,267,898,3,4,378,107
15,1676,436,775,6,1,234,338
16,4093,650,631,5,4,361,290
17,2480,701,498,0,4,337,206
18,1980,636,693,2,4,156,209
19,3510,716,526,5,3,72,34
20,3486,916,696,3,2,303,108
21,1197,3,623,2,1,332,335
22,122,619,211,5,2,452,1
23,4159,313,816,3,4,334,244
24,410,352,373,0,4,22,158
25,844,838,570,6,2,440,287
26,1191,721,542,3,2,198,288
27,4038,342,406,3,2,296,312
28,927,569,656,4,4,217,285
29,4555,410,108,4,4,123,307
30,681,962,832,4,1,489,270
31,1849,612,152,2,1,31,349
32,812,539,851,5,4,358,260
33,1409,690,266,6,2,223,30
34,605,965,457,6,2,180,150
35,981,15,768,6,1,332,342
36,2169,545,846,6,4,63,293
37,717,800,965,2,1,403,186
38,533,402,740,0,1,307,52
39,3083,558,279,0,3,329,133
40,2734,358,104,2,3,135,308
41,1963,473,799,3,3,286,84
42,841,112,284,1,2,473,17
43,3416,650,198,1,4,213,295
44,1845,56,28,3,4,203,121
45,933,15,956,1,4,178,138
46,909,944,227,0,4,161,81
47,2652,682,954,2,3,44,254
48,85,20,688,5,2,193,255
49,3674,799,151,4,2,295,65
50,893,322,506,0,3,66,294
51,3000,40,159,2,2,231,215
52,3391,264,924,0,3,312,21
53,2221,685,12,0,4,172,139
54,2236,932,390,2,3,28,198
55,2964,806,657,5,4,379,286
56,1734,725,747,1,4,273,336
57,1883,178,699,0,1,291,40
58,188,950,673,5,3,122,169
59,2059,130,358,6,1,497,20
60,4295,258,485,2,3,336,130
61,3371,323,274,3,3,39,213
62,2813,205,145,3,1,144,82
63,4343,114,739,2,1,76,45
64,2744,848,338,6,3,74,27
65,2172,812,885,3,2,301,288
66,1282,379,73,1,4,34,21
67,1059,327,365,0,1,46,262
68,3732,910,143,5,4,10,198
69,4358,136,25,4,2,408,124
70,2562,468,618,5,2,46,44
71,1018,439,10,4,2,150,209
72,3797,694,21,6,1,241,343
73,2057,952,218,2,2,145,336
74,3978,992,503,2,1,398,178
